id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
840226,321,7/9/2015 17:40,Howard at 2nd,63,7/9/2015 17:46,Steuart at Market,74,530,Subscriber,94590
341330,442,6/26/2014 18:58,Washington at Kearny,46,6/26/2014 19:05,Temporary Transbay Terminal (Howard at Beale),55,453,Subscriber,94133
712270,187,4/4/2015 16:22,Civic Center BART (7th at Market),72,4/4/2015 16:25,Market at 10th,67,311,Subscriber,94107
359119,1751,7/10/2014 20:49,Embarcadero at Sansome,60,7/10/2014 21:18,Powell at Post (Union Square),71,509,Customer,1730
678554,958,3/12/2015 8:54,Grant Avenue at Columbus Avenue,73,3/12/2015 9:10,Civic Center BART (7th at Market),72,364,Subscriber,94133
494819,464,10/12/2014 16:37,Washington at Kearny,46,10/12/2014 16:45,Howard at 2nd,63,467,Customer,nil
176104,261,2/4/2014 19:04,Market at 10th,67,2/4/2014 19:08,Powell Street BART,39,564,Subscriber,94703
731769,346,4/19/2015 15:11,Powell at Post (Union Square),71,4/19/2015 15:17,Yerba Buena Center of the Arts (3rd @ Howard),68,575,Subscriber,94109
302722,328,5/29/2014 12:40,Mechanics Plaza (Market at Battery),75,5/29/2014 12:45,Market at 4th,76,282,Subscriber,94103
591441,180,1/5/2015 16:52,Mountain View City Hall,27,1/5/2015 16:55,Mountain View Caltrain Station,28,143,Subscriber,94107
869952,391,7/31/2015 6:16,Temporary Transbay Terminal (Howard at Beale),55,7/31/2015 6:22,Commercial at Montgomery,45,677,Subscriber,94611
409290,413,8/14/2014 17:12,2nd at Folsom,62,8/14/2014 17:19,San Francisco Caltrain 2 (330 Townsend),69,410,Subscriber,94107
848564,7122,7/15/2015 20:25,Grant Avenue at Columbus Avenue,73,7/15/2015 22:23,Grant Avenue at Columbus Avenue,73,482,Customer,94133
284077,521,5/14/2014 15:57,Embarcadero at Folsom,51,5/14/2014 16:06,San Francisco Caltrain (Townsend at 4th),70,575,Subscriber,95014
442723,242,9/8/2014 12:53,Mechanics Plaza (Market at Battery),75,9/8/2014 12:57,Market at 4th,76,488,Subscriber,94131
606376,277,1/15/2015 19:46,Townsend at 7th,65,1/15/2015 19:51,San Francisco Caltrain 2 (330 Townsend),69,320,Subscriber,94103
446817,175,9/10/2014 16:55,Commercial at Montgomery,45,9/10/2014 16:58,Broadway St at Battery St,82,425,Subscriber,94107
620420,271,1/27/2015 15:13,Townsend at 7th,65,1/27/2015 15:17,San Francisco Caltrain (Townsend at 4th),70,624,Subscriber,94598
389349,540,7/31/2014 18:33,San Francisco Caltrain 2 (330 Townsend),69,7/31/2014 18:42,Powell Street BART,39,602,Subscriber,94612
79956,1078,11/1/2013 12:04,Powell at Post (Union Square),71,11/1/2013 12:22,Townsend at 7th,65,520,Subscriber,94107
231122,357,3/29/2014 20:39,San Francisco Caltrain (Townsend at 4th),70,3/29/2014 20:45,2nd at Folsom,62,318,Subscriber,94158
473507,511,9/29/2014 7:55,Grant Avenue at Columbus Avenue,73,9/29/2014 8:04,Powell Street BART,39,496,Subscriber,94133
877313,5820,8/5/2015 17:15,Civic Center BART (7th at Market),72,8/5/2015 18:52,Market at 10th,67,469,Customer,39104
333923,659,6/21/2014 19:26,Market at 4th,76,6/21/2014 19:37,Clay at Battery,41,603,Customer,94536
367799,723,7/17/2014 9:15,Temporary Transbay Terminal (Howard at Beale),55,7/17/2014 9:27,San Francisco Caltrain (Townsend at 4th),70,438,Subscriber,94706
803784,374,6/11/2015 18:18,Market at Sansome,77,6/11/2015 18:24,Spear at Folsom,49,518,Subscriber,94105
417465,881,8/20/2014 18:20,San Jose Diridon Caltrain Station,2,8/20/2014 18:35,Ryland Park,84,142,Subscriber,95110
321438,683,6/12/2014 9:30,Davis at Jackson,42,6/12/2014 9:41,Powell Street BART,39,461,Customer,91147
610466,173,1/20/2015 8:51,San Francisco City Hall,58,1/20/2015 8:54,Market at 10th,67,591,Subscriber,94133
578033,724,12/16/2014 17:03,Civic Center BART (7th at Market),72,12/16/2014 17:15,San Francisco Caltrain (Townsend at 4th),70,434,Subscriber,94041
486111,1075,10/7/2014 8:11,Spear at Folsom,49,10/7/2014 8:29,Market at 10th,67,187,Subscriber,94402
702396,986,3/28/2015 17:31,Powell Street BART,39,3/28/2015 17:47,Embarcadero at Sansome,60,554,Subscriber,94133
12143,338,9/6/2013 8:50,Market at 4th,76,9/6/2013 8:55,Civic Center BART (7th at Market),72,605,Subscriber,94566
864443,624,7/27/2015 21:10,Steuart at Market,74,7/27/2015 21:21,5th at Howard,57,552,Subscriber,94107
238254,410,4/6/2014 16:27,Market at Sansome,77,4/6/2014 16:34,2nd at Townsend,61,435,Subscriber,94107
266009,956,4/30/2014 8:12,San Francisco Caltrain (Townsend at 4th),70,4/30/2014 8:28,Beale at Market,56,410,Subscriber,95148
346969,1020,7/1/2014 16:35,Clay at Battery,41,7/1/2014 16:52,San Francisco Caltrain (Townsend at 4th),70,580,Subscriber,94301
210467,938,3/12/2014 0:59,University and Emerson,35,3/12/2014 1:15,University and Emerson,35,225,Subscriber,94301
429506,618,8/28/2014 17:09,Spear at Folsom,49,8/28/2014 17:19,San Francisco Caltrain (Townsend at 4th),70,66,Subscriber,94102
779300,909,5/23/2015 16:10,Embarcadero at Sansome,60,5/23/2015 16:25,San Francisco Caltrain 2 (330 Townsend),69,266,Subscriber,94107
793703,729,6/4/2015 9:09,Steuart at Market,74,6/4/2015 9:22,San Francisco Caltrain (Townsend at 4th),70,326,Subscriber,94945
208322,708,3/10/2014 16:29,Steuart at Market,74,3/10/2014 16:41,San Francisco Caltrain (Townsend at 4th),70,439,Subscriber,94002
321469,533,6/12/2014 9:47,Civic Center BART (7th at Market),72,6/12/2014 9:56,Townsend at 7th,65,349,Subscriber,94618
770384,1617,5/17/2015 20:32,Arena Green / SAP Center,14,5/17/2015 20:58,Arena Green / SAP Center,14,160,Customer,94539
390604,407,8/1/2014 16:29,Spear at Folsom,49,8/1/2014 16:36,Mechanics Plaza (Market at Battery),75,559,Subscriber,94105
384350,484,7/29/2014 8:07,Grant Avenue at Columbus Avenue,73,7/29/2014 8:15,Powell Street BART,39,477,Subscriber,94133
580042,465,12/18/2014 10:43,Embarcadero at Bryant,54,12/18/2014 10:51,Davis at Jackson,42,709,Subscriber,94111
741812,691,4/27/2015 8:03,South Van Ness at Market,66,4/27/2015 8:14,Post at Kearny,47,267,Subscriber,94116
824147,574,6/26/2015 16:40,Spear at Folsom,49,6/26/2015 16:49,5th at Howard,57,597,Subscriber,94103
768096,157,5/15/2015 7:55,Evelyn Park and Ride,30,5/15/2015 7:58,Mountain View Caltrain Station,28,247,Subscriber,94024
336629,1010,6/24/2014 8:33,2nd at Townsend,61,6/24/2014 8:50,Market at 4th,76,461,Subscriber,94404
420642,416,8/22/2014 16:04,2nd at Townsend,61,8/22/2014 16:11,Harry Bridges Plaza (Ferry Building),50,559,Subscriber,94558
549616,437,11/18/2014 16:10,2nd at Townsend,61,11/18/2014 16:17,Harry Bridges Plaza (Ferry Building),50,350,Customer,66609
621360,884,1/28/2015 7:37,Steuart at Market,74,1/28/2015 7:52,Townsend at 7th,65,413,Subscriber,94501
69885,628,10/23/2013 20:03,Market at 10th,67,10/23/2013 20:14,San Francisco Caltrain (Townsend at 4th),70,417,Subscriber,94107
323614,296,6/13/2014 17:02,Market at Sansome,77,6/13/2014 17:07,Steuart at Market,74,506,Customer,65400
444668,381,9/9/2014 15:21,2nd at South Park,64,9/9/2014 15:27,Market at Sansome,77,286,Subscriber,94706
517281,871,10/27/2014 16:11,Yerba Buena Center of the Arts (3rd @ Howard),68,10/27/2014 16:25,Broadway St at Battery St,82,596,Subscriber,94107
685948,798,3/17/2015 17:07,Mechanics Plaza (Market at Battery),75,3/17/2015 17:20,San Francisco Caltrain (Townsend at 4th),70,514,Subscriber,95051
135042,342,12/24/2013 14:58,Embarcadero at Sansome,60,12/24/2013 15:03,Grant Avenue at Columbus Avenue,73,545,Subscriber,94133
290033,747,5/19/2014 16:19,Townsend at 7th,65,5/19/2014 16:31,Market at Sansome,77,407,Subscriber,94121
89189,561,11/8/2013 16:30,Temporary Transbay Terminal (Howard at Beale),55,11/8/2013 16:39,San Francisco Caltrain (Townsend at 4th),70,521,Subscriber,94403
